,ano,uf,genero,mes,numero
493,2015,Sergipe,Masculino,Fevereiro,1
494,2015,Sergipe,Masculino,Março,1
495,2015,Sergipe,Masculino,Abril,0
496,2015,Sergipe,Masculino,Maio,1
497,2015,Sergipe,Masculino,Junho,1
498,2015,Sergipe,Masculino,Julho,0
499,2015,Sergipe,Masculino,Agosto,0
500,2015,Sergipe,Masculino,Setembro,1
501,2015,Sergipe,Masculino,Outubro,0
502,2015,Sergipe,Masculino,Novembro,0
503,2015,Sergipe,Masculino,Dezembro,1
504,2015,Bahia,Masculino,Janeiro,2
505,2015,Bahia,Masculino,Fevereiro,2
506,2015,Bahia,Masculino,Março,5
507,2015,Bahia,Masculino,Abril,5
508,2015,Bahia,Masculino,Maio,7
509,2015,Bahia,Masculino,Junho,6
510,2015,Bahia,Masculino,Julho,4
511,2015,Bahia,Masculino,Agosto,8
512,2015,Bahia,Masculino,Setembro,4
513,2015,Bahia,Masculino,Outubro,4
514,2015,Bahia,Masculino,Novembro,6
515,2015,Bahia,Masculino,Dezembro,3
516,2015,Minas Gerais,Masculino,Janeiro,10
517,2015,Minas Gerais,Masculino,Fevereiro,6
518,2015,Minas Gerais,Masculino,Março,13
519,2015,Minas Gerais,Masculino,Abril,11
520,2015,Minas Gerais,Masculino,Maio,11
521,2015,Minas Gerais,Masculino,Junho,12
522,2015,Minas Gerais,Masculino,Julho,17
523,2015,Minas Gerais,Masculino,Agosto,14
524,2015,Minas Gerais,Masculino,Setembro,14
525,2015,Minas Gerais,Masculino,Outubro,31
526,2015,Minas Gerais,Masculino,Novembro,25
527,2015,Minas Gerais,Masculino,Dezembro,13
528,2015,Espírito Santo,Masculino,Janeiro,1
529,2015,Espírito Santo,Masculino,Fevereiro,1
530,2015,Espírito Santo,Masculino,Março,3
531,2015,Espírito Santo,Masculino,Abril,3
532,2015,Espírito Santo,Masculino,Maio,2
533,2015,Espírito Santo,Masculino,Junho,1
534,2015,Espírito Santo,Masculino,Julho,6
535,2015,Espírito Santo,Masculino,Agosto,3
536,2015,Espírito Santo,Masculino,Setembro,4
537,2015,Espírito Santo,Masculino,Outubro,5
538,2015,Espírito Santo,Masculino,Novembro,6
539,2015,Espírito Santo,Masculino,Dezembro,7
540,2015,Rio de Janeiro,Masculino,Janeiro,11
541,2015,Rio de Janeiro,Masculino,Fevereiro,14
542,2015,Rio de Janeiro,Masculino,Março,18
543,2015,Rio de Janeiro,Masculino,Abril,23
544,2015,Rio de Janeiro,Masculino,Maio,16
545,2015,Rio de Janeiro,Masculino,Junho,23
546,2015,Rio de Janeiro,Masculino,Julho,20
547,2015,Rio de Janeiro,Masculino,Agosto,17
548,2015,Rio de Janeiro,Masculino,Setembro,26
549,2015,Rio de Janeiro,Masculino,Outubro,23
550,2015,Rio de Janeiro,Masculino,Novembro,32
551,2015,Rio de Janeiro,Masculino,Dezembro,52
552,2015,São Paulo,Masculino,Janeiro,69
553,2015,São Paulo,Masculino,Fevereiro,57
554,2015,São Paulo,Masculino,Março,68
555,2015,São Paulo,Masculino,Abril,64
556,2015,São Paulo,Masculino,Maio,62
