,ano,uf,genero,mes,numero,numero_mes,data
239,2019,São Paulo,Masculino,Dezembro,131,12,2019-12-01
240,2019,Paraná,Masculino,Janeiro,24,01,2019-01-01
241,2019,Paraná,Masculino,Fevereiro,26,02,2019-02-01
242,2019,Paraná,Masculino,Março,16,03,2019-03-01
243,2019,Paraná,Masculino,Abril,12,04,2019-04-01
244,2019,Paraná,Masculino,Maio,16,05,2019-05-01
245,2019,Paraná,Masculino,Junho,12,06,2019-06-01
246,2019,Paraná,Masculino,Julho,10,07,2019-07-01
247,2019,Paraná,Masculino,Agosto,13,08,2019-08-01
248,2019,Paraná,Masculino,Setembro,7,09,2019-09-01
249,2019,Paraná,Masculino,Outubro,20,10,2019-10-01
250,2019,Paraná,Masculino,Novembro,15,11,2019-11-01
251,2019,Paraná,Masculino,Dezembro,14,12,2019-12-01
252,2019,Santa Catarina,Masculino,Janeiro,24,01,2019-01-01
253,2019,Santa Catarina,Masculino,Fevereiro,21,02,2019-02-01
254,2019,Santa Catarina,Masculino,Março,14,03,2019-03-01
255,2019,Santa Catarina,Masculino,Abril,12,04,2019-04-01
256,2019,Santa Catarina,Masculino,Maio,11,05,2019-05-01
257,2019,Santa Catarina,Masculino,Junho,11,06,2019-06-01
258,2019,Santa Catarina,Masculino,Julho,20,07,2019-07-01
259,2019,Santa Catarina,Masculino,Agosto,17,08,2019-08-01
260,2019,Santa Catarina,Masculino,Setembro,13,09,2019-09-01
261,2019,Santa Catarina,Masculino,Outubro,11,10,2019-10-01
262,2019,Santa Catarina,Masculino,Novembro,11,11,2019-11-01
263,2019,Santa Catarina,Masculino,Dezembro,15,12,2019-12-01
264,2019,Rio Grande do Sul,Masculino,Janeiro,33,01,2019-01-01
265,2019,Rio Grande do Sul,Masculino,Fevereiro,33,02,2019-02-01
266,2019,Rio Grande do Sul,Masculino,Março,16,03,2019-03-01
267,2019,Rio Grande do Sul,Masculino,Abril,11,04,2019-04-01
268,2019,Rio Grande do Sul,Masculino,Maio,7,05,2019-05-01
269,2019,Rio Grande do Sul,Masculino,Junho,8,06,2019-06-01
270,2019,Rio Grande do Sul,Masculino,Julho,7,07,2019-07-01
271,2019,Rio Grande do Sul,Masculino,Agosto,5,08,2019-08-01
272,2019,Rio Grande do Sul,Masculino,Setembro,11,09,2019-09-01
273,2019,Rio Grande do Sul,Masculino,Outubro,11,10,2019-10-01
274,2019,Rio Grande do Sul,Masculino,Novembro,18,11,2019-11-01
275,2019,Rio Grande do Sul,Masculino,Dezembro,20,12,2019-12-01
276,2019,Mato Grosso do Sul,Masculino,Janeiro,5,01,2019-01-01
277,2019,Mato Grosso do Sul,Masculino,Fevereiro,3,02,2019-02-01
278,2019,Mato Grosso do Sul,Masculino,Março,5,03,2019-03-01
279,2019,Mato Grosso do Sul,Masculino,Abril,2,04,2019-04-01
280,2019,Mato Grosso do Sul,Masculino,Maio,1,05,2019-05-01
281,2019,Mato Grosso do Sul,Masculino,Junho,1,06,2019-06-01
282,2019,Mato Grosso do Sul,Masculino,Julho,1,07,2019-07-01
283,2019,Mato Grosso do Sul,Masculino,Agosto,1,08,2019-08-01
284,2019,Mato Grosso do Sul,Masculino,Setembro,5,09,2019-09-01
285,2019,Mato Grosso do Sul,Masculino,Outubro,4,10,2019-10-01
286,2019,Mato Grosso do Sul,Masculino,Novembro,4,11,2019-11-01
287,2019,Mato Grosso do Sul,Masculino,Dezembro,3,12,2019-12-01
288,2019,Mato Grosso,Masculino,Janeiro,2,01,2019-01-01
289,2019,Mato Grosso,Masculino,Fevereiro,3,02,2019-02-01
290,2019,Mato Grosso,Masculino,Março,7,03,2019-03-01
291,2019,Mato Grosso,Masculino,Abril,6,04,2019-04-01
292,2019,Mato Grosso,Masculino,Maio,5,05,2019-05-01
293,2019,Mato Grosso,Masculino,Junho,6,06,2019-06-01
294,2019,Mato Grosso,Masculino,Julho,1,07,2019-07-01
295,2019,Mato Grosso,Masculino,Agosto,0,08,2019-08-01
296,2019,Mato Grosso,Masculino,Setembro,0,09,2019-09-01
297,2019,Mato Grosso,Masculino,Outubro,0,10,2019-10-01
298,2019,Mato Grosso,Masculino,Novembro,0,11,2019-11-01
299,2019,Mato Grosso,Masculino,Dezembro,1,12,2019-12-01
300,2019,Goiás,Masculino,Janeiro,2,01,2019-01-01
301,2019,Goiás,Masculino,Fevereiro,3,02,2019-02-01
302,2019,Goiás,Masculino,Março,2,03,2019-03-01
303,2019,Goiás,Masculino,Abril,0,04,2019-04-01
304,2019,Goiás,Masculino,Maio,0,05,2019-05-01
305,2019,Goiás,Masculino,Junho,6,06,2019-06-01
306,2019,Goiás,Masculino,Julho,3,07,2019-07-01
307,2019,Goiás,Masculino,Agosto,4,08,2019-08-01
308,2019,Goiás,Masculino,Setembro,8,09,2019-09-01
309,2019,Goiás,Masculino,Outubro,12,10,2019-10-01
310,2019,Goiás,Masculino,Novembro,9,11,2019-11-01
311,2019,Goiás,Masculino,Dezembro,9,12,2019-12-01
312,2019,Distrito Federal,Masculino,Janeiro,25,01,2019-01-01
313,2019,Distrito Federal,Masculino,Fevereiro,14,02,2019-02-01
314,2019,Distrito Federal,Masculino,Março,10,03,2019-03-01
315,2019,Distrito Federal,Masculino,Abril,14,04,2019-04-01
316,2019,Distrito Federal,Masculino,Maio,7,05,2019-05-01
317,2019,Distrito Federal,Masculino,Junho,9,06,2019-06-01
318,2019,Distrito Federal,Masculino,Julho,2,07,2019-07-01
319,2019,Distrito Federal,Masculino,Agosto,10,08,2019-08-01
320,2019,Distrito Federal,Masculino,Setembro,13,09,2019-09-01
321,2019,Distrito Federal,Masculino,Outubro,9,10,2019-10-01
322,2019,Distrito Federal,Masculino,Novembro,9,11,2019-11-01
323,2019,Distrito Federal,Masculino,Dezembro,10,12,2019-12-01
324,2015,Rondônia,Masculino,Janeiro,1,01,2015-01-01
325,2015,Rondônia,Masculino,Fevereiro,0,02,2015-02-01
326,2015,Rondônia,Masculino,Março,1,03,2015-03-01
327,2015,Rondônia,Masculino,Abril,0,04,2015-04-01
328,2015,Rondônia,Masculino,Maio,0,05,2015-05-01
329,2015,Rondônia,Masculino,Junho,0,06,2015-06-01
330,2015,Rondônia,Masculino,Julho,3,07,2015-07-01
331,2015,Rondônia,Masculino,Agosto,1,08,2015-08-01
332,2015,Rondônia,Masculino,Setembro,0,09,2015-09-01
333,2015,Rondônia,Masculino,Outubro,0,10,2015-10-01
334,2015,Rondônia,Masculino,Novembro,0,11,2015-11-01
335,2015,Rondônia,Masculino,Dezembro,1,12,2015-12-01
336,2015,Acre,Masculino,Janeiro,0,01,2015-01-01
337,2015,Acre,Masculino,Fevereiro,0,02,2015-02-01
338,2015,Acre,Masculino,Março,0,03,2015-03-01
339,2015,Acre,Masculino,Abril,0,04,2015-04-01
340,2015,Acre,Masculino,Maio,0,05,2015-05-01
341,2015,Acre,Masculino,Junho,0,06,2015-06-01
342,2015,Acre,Masculino,Julho,0,07,2015-07-01
343,2015,Acre,Masculino,Agosto,0,08,2015-08-01
344,2015,Acre,Masculino,Setembro,0,09,2015-09-01
345,2015,Acre,Masculino,Outubro,0,10,2015-10-01
346,2015,Acre,Masculino,Novembro,0,11,2015-11-01
347,2015,Acre,Masculino,Dezembro,0,12,2015-12-01
348,2015,Amazonas,Masculino,Janeiro,0,01,2015-01-01
349,2015,Amazonas,Masculino,Fevereiro,6,02,2015-02-01
350,2015,Amazonas,Masculino,Março,3,03,2015-03-01
351,2015,Amazonas,Masculino,Abril,2,04,2015-04-01
352,2015,Amazonas,Masculino,Maio,4,05,2015-05-01
353,2015,Amazonas,Masculino,Junho,4,06,2015-06-01
354,2015,Amazonas,Masculino,Julho,7,07,2015-07-01
355,2015,Amazonas,Masculino,Agosto,6,08,2015-08-01
356,2015,Amazonas,Masculino,Setembro,0,09,2015-09-01
357,2015,Amazonas,Masculino,Outubro,4,10,2015-10-01
358,2015,Amazonas,Masculino,Novembro,3,11,2015-11-01
359,2015,Amazonas,Masculino,Dezembro,5,12,2015-12-01
360,2015,Roraima,Masculino,Janeiro,0,01,2015-01-01
361,2015,Roraima,Masculino,Fevereiro,0,02,2015-02-01
362,2015,Roraima,Masculino,Março,0,03,2015-03-01
363,2015,Roraima,Masculino,Abril,0,04,2015-04-01
364,2015,Roraima,Masculino,Maio,0,05,2015-05-01
365,2015,Roraima,Masculino,Junho,0,06,2015-06-01
366,2015,Roraima,Masculino,Julho,0,07,2015-07-01
367,2015,Roraima,Masculino,Agosto,0,08,2015-08-01
368,2015,Roraima,Masculino,Setembro,0,09,2015-09-01
369,2015,Roraima,Masculino,Outubro,1,10,2015-10-01
370,2015,Roraima,Masculino,Novembro,0,11,2015-11-01
371,2015,Roraima,Masculino,Dezembro,0,12,2015-12-01
372,2015,Pará,Masculino,Janeiro,3,01,2015-01-01
373,2015,Pará,Masculino,Fevereiro,1,02,2015-02-01
374,2015,Pará,Masculino,Março,2,03,2015-03-01
375,2015,Pará,Masculino,Abril,3,04,2015-04-01
376,2015,Pará,Masculino,Maio,11,05,2015-05-01
377,2015,Pará,Masculino,Junho,11,06,2015-06-01
378,2015,Pará,Masculino,Julho,1,07,2015-07-01
379,2015,Pará,Masculino,Agosto,3,08,2015-08-01
380,2015,Pará,Masculino,Setembro,0,09,2015-09-01
381,2015,Pará,Masculino,Outubro,2,10,2015-10-01
382,2015,Pará,Masculino,Novembro,3,11,2015-11-01
383,2015,Pará,Masculino,Dezembro,15,12,2015-12-01
384,2015,Amapá,Masculino,Janeiro,0,01,2015-01-01
385,2015,Amapá,Masculino,Fevereiro,1,02,2015-02-01
386,2015,Amapá,Masculino,Março,1,03,2015-03-01
387,2015,Amapá,Masculino,Abril,0,04,2015-04-01
388,2015,Amapá,Masculino,Maio,0,05,2015-05-01
389,2015,Amapá,Masculino,Junho,0,06,2015-06-01
390,2015,Amapá,Masculino,Julho,1,07,2015-07-01
391,2015,Amapá,Masculino,Agosto,0,08,2015-08-01
392,2015,Amapá,Masculino,Setembro,0,09,2015-09-01
393,2015,Amapá,Masculino,Outubro,0,10,2015-10-01
394,2015,Amapá,Masculino,Novembro,0,11,2015-11-01
395,2015,Amapá,Masculino,Dezembro,0,12,2015-12-01
396,2015,Tocantins,Masculino,Janeiro,1,01,2015-01-01
397,2015,Tocantins,Masculino,Fevereiro,1,02,2015-02-01
398,2015,Tocantins,Masculino,Março,0,03,2015-03-01
399,2015,Tocantins,Masculino,Abril,1,04,2015-04-01
400,2015,Tocantins,Masculino,Maio,0,05,2015-05-01
401,2015,Tocantins,Masculino,Junho,1,06,2015-06-01
402,2015,Tocantins,Masculino,Julho,0,07,2015-07-01
403,2015,Tocantins,Masculino,Agosto,1,08,2015-08-01
404,2015,Tocantins,Masculino,Setembro,0,09,2015-09-01
405,2015,Tocantins,Masculino,Outubro,0,10,2015-10-01
406,2015,Tocantins,Masculino,Novembro,1,11,2015-11-01
407,2015,Tocantins,Masculino,Dezembro,0,12,2015-12-01
408,2015,Maranhão,Masculino,Janeiro,8,01,2015-01-01
409,2015,Maranhão,Masculino,Fevereiro,4,02,2015-02-01
410,2015,Maranhão,Masculino,Março,1,03,2015-03-01
411,2015,Maranhão,Masculino,Abril,5,04,2015-04-01
412,2015,Maranhão,Masculino,Maio,1,05,2015-05-01
413,2015,Maranhão,Masculino,Junho,2,06,2015-06-01
414,2015,Maranhão,Masculino,Julho,6,07,2015-07-01
415,2015,Maranhão,Masculino,Agosto,1,08,2015-08-01
416,2015,Maranhão,Masculino,Setembro,2,09,2015-09-01
417,2015,Maranhão,Masculino,Outubro,6,10,2015-10-01
418,2015,Maranhão,Masculino,Novembro,4,11,2015-11-01
419,2015,Maranhão,Masculino,Dezembro,10,12,2015-12-01
420,2015,Piauí,Masculino,Janeiro,0,01,2015-01-01
421,2015,Piauí,Masculino,Fevereiro,0,02,2015-02-01
422,2015,Piauí,Masculino,Março,0,03,2015-03-01
423,2015,Piauí,Masculino,Abril,1,04,2015-04-01
424,2015,Piauí,Masculino,Maio,2,05,2015-05-01
425,2015,Piauí,Masculino,Junho,0,06,2015-06-01
426,2015,Piauí,Masculino,Julho,2,07,2015-07-01
427,2015,Piauí,Masculino,Agosto,1,08,2015-08-01
428,2015,Piauí,Masculino,Setembro,1,09,2015-09-01
429,2015,Piauí,Masculino,Outubro,0,10,2015-10-01
430,2015,Piauí,Masculino,Novembro,0,11,2015-11-01
